DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,PageNumber,PojNormalized,KipNormalized
1,Giâ-kang-chháu,Gia5-kang-chhau2,Giâ-kang-tsháu,Gia5-kang-tshau2,蜈蚣草,2,Gia-kang-chhau,Gia-kang-tshau
2,Tó-té-giâ-kang,To2-te2-gia5-kang,Tó-té-giâ-kang,To2-te2-gia5-kang,倒地蜈蚣,2,To-te-gia-kang,To-te-gia-kang
3,Tó-kî-lîn,To2-ki5-lin5,Tó-kî-lîn,To2-ki5-lin5,倒麒麟,2,To-ki-lin,To-ki-lin
4,Tōe-giâ-kang,Toe7-gia5-kang,Tuē-giâ-kang,Tue7-gia5-kang,地蜈蚣,2,Toe-gia-kang,Tue-gia-kang
5,Kè-lo-giâ-kang,Ke3-lo-gia5-kang,Kè-lo-giâ-kang,Ke3-lo-gia5-kang,過路蜈蚣,2,Ke-lo-gia-kang,Ke-lo-gia-kang
6,Pit-tâng-chhiū,Pit-tang5-chhiu7,Pit-tâng-tshiū,Pit-tang5-tshiu7,筆筒樹,5,Pit-tang-chhiu,Pit-tang-tshiu
7,Koàn-chiòng,Koan3-chiong3,Kuàn-tsiòng,Kuan3-tsiong3,貫眾,5,Koan-chiong,Kuan-tsiong
8,Kut-chhùi-pò͘,Kut-chhui3-poo3,Kut-tshuì-pòo,Kut-tshui3-poo3,骨碎補,5,Kut-chhui-po,Kut-tshui-poo
9,Káu-chit,Kau2-chit,Káu-tsit,Kau2-tsit,狗脊,5,Kau-chit,Kau-tsit
10,Lêng-lân-chháu,Leng5-lan5-chhau2,Lîng-lân-tsháu,Ling5-lan5-tshau2,龍麟草,6,Leng-lan-chhau,Ling-lan-tshau
11,Hōng-bé-chháu,Hong7-be2-chhau2,Hōng-bé-tsháu,Hong7-be2-tshau2,鳳尾草,8,Hong-be-chhau,Hong-be-tshau
12,Soaⁿ-neh-kiau,Soann-neh-kiau,Suann-neh-kiau,Suann-neh-kiau,山蕨猫,12,Soa-neh-kiau,Suann-neh-kiau
13,Hong-put-tōng,Hong-put-tong7,Hong-put-tōng,Hong-put-tong7,風不動,13,Hong-put-tong,Hong-put-tong
14,Chhiū-lêng,Chhiu7-leng5,Tshiū-lîng,Tshiu7-ling5,樹龍,13,Chhiu-leng,Tshiu-ling
15,Chio̍h-kiàm,Chioh8-kiam3,Tsio̍h-kiàm,Tsioh8-kiam3,石劍,13,Chioh-kiam,Tsioh-kiam
16,Bé-bé-si,Be2-be2-si,Bé-bé-si,Be2-be2-si,馬尾絲,14,Be-be-si,Be-be-si
17,Hōng-bé-chháu,Hong7-be2-chhau2,Hōng-bé-tsháu,Hong7-be2-tshau2,鳳尾草,14,Hong-be-chhau,Hong-be-tshau
18,Keh-niau,Keh-niau,Keh-niau,Keh-niau,蕨猫,16,Keh-niau,Keh-niau
19,Ké-kau-chhái,Ke2-kau-chhai2,Ké-kau-tshái,Ke2-kau-tshai2,過溝菜,16,Ke-kau-chhai,Ke-kau-tshai
20,Soaⁿ-ti-á-lān-hu̍t,Soann-ti-a2-lan7-hut8,Suann-ti-á-lān-hu̍t,Suann-ti-a2-lan7-hut8,山猪仔？核,30,Soa-ti-a-lan-hut,Suann-ti-a-lan-hut
21,Thó͘-chhoan-nî,Thoo2-chhoan-ni5,Thóo-tshuan-nî,Thoo2-tshuan-ni5,土川連,30,Tho-chhoan-ni,Thoo-tshuan-ni
22,Hōng-bé-pit,Hong7-be2-pit,Hōng-bé-pit,Hong7-be2-pit,鳳尾筆,30,Hong-be-pit,Hong-be-pit
23,Bé-bé-si,Be2-be2-si,Bé-bé-si,Be2-be2-si,馬尾絲,30,Be-be-si,Be-be-si
24,Ah-kha-pê,Ah-kha-pe5,Ah-kha-pê,Ah-kha-pe5,鴨腳筢,33,Ah-kha-pe,Ah-kha-pe
25,Ah-tôe-chháu,Ah-toe5-chhau2,Ah-tuê-tsháu,Ah-tue5-tshau2,鴨蹄草,33,Ah-toe-chhau,Ah-tue-tshau
26,Kim-chio̍h-úi,Kim-chioh8-ui2,Kim-tsio̍h-uí,Kim-tsioh8-ui2,金石韋,35,Kim-chioh-ui,Kim-tsioh-ui
27,Keh-niau-chháu,Keh-niau-chhau2,Keh-niau-tsháu,Keh-niau-tshau2,蕨猫草,39,Keh-niau-chhau,Keh-niau-tshau
28,Hōng-bé-chháu,Hong7-be2-chhau2,Hōng-bé-tsháu,Hong7-be2-tshau2,鳳尾草,39,Hong-be-chhau,Hong-be-tshau
29,Chíⁿ-piⁿ-chháu,Chinn2-pinn-chhau2,Tsínn-pinn-tsháu,Tsinn2-pinn-tshau2,井邊草,40,Chi-pi-chhau,Tsinn-pinn-tshau
