DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,HanLoTaibunKip,HoaBun,DataProvidedBy,PojNormalized,KipNormalized
1,siān-neh,sian7-neh,siān-neh,sian7-neh,𤺪呢,𤺪呢,討厭,Liz Lin,sian-neh,sian-neh
2,sú-sū,su2-su7,sú-sū,su2-su7,死侍,死侍,死侍,Liz Lin,su-su,su-su
3,tiám-lu-êng-bō͘,tiam2-lu-eng5-boo7,tiám-lu-îng-bōo,tiam2-lu-ing5-boo7,點攄螢幕,點攄螢幕,觸控螢幕,Liz Lin,tiam-lu-eng-bo,tiam-lu-ing-boo
4,tōa-lâng chhōa gín-á khì chhit-thô,toa7-lang5 chhoa7 gin2-a2 khi3 chhit-tho5,tuā-lâng tshuā gín-á khì tshit-thô,tua7-lang5 tshua7 gin2-a2 khi3 tshit-tho5,大人𤆬囡仔去𨑨迌,大人𤆬囡仔去𨑨迌,大人帶小孩去玩耍,葉怡萱,toa-lang chhoa gin-a khi chhit-tho,tua-lang tshua gin-a khi tshit-tho
5,siá khó͘,sia2 khoo2,siá khóo,sia2 khoo2,寫許,寫許,寫程式,WuPomin,sia kho,sia khoo
6,hia̍p-koh,hiap8-koh,hia̍p-koh,hiap8-koh,拹閣,拹閣,黑客,WuPomin,hiap-koh,hiap-koh
7,kip-sò,kip-so3,kip-sò,kip-so3,急躁,急躁,焦慮,Liz Lin,kip-so,kip-so
8,pó-chhiⁿ-mo̍͘h,po2-chhinn-mooh8,pó-tshinn-mo̍oh,po2-tshinn-mooh8,保鮮膜,保鮮膜,保鮮膜,Liz Lin,po-chhi-moh,po-tshinn-mooh
9,chúi-chheⁿ tò-thâu kiâⁿ,chui2-chhenn to3-thau5 kiann5,tsuí-tshenn tò-thâu kiânn,tsui2-tshenn to3-thau5 kiann5,水星倒頭行,水星倒頭行,水逆,Liz Lin,chui-chhe to-thau kia,tsui-tshenn to-thau kiann
10,chhu-kiā,chhu-kia7,tshu-kiā,tshu-kia7,趨崎,趨崎,滑坡,Liz Lin,chhu-kia,tshu-kia
11,tē-tāng-bóe,te7-tang7-boe2,tē-tāng-bué,te7-tang7-bue2,地動尾,地動尾,餘震,Liz Lin,te-tang-boe,te-tang-bue
12,góa bē-hiáu,goa2 be7-hiau2,guá bē-hiáu,gua2 be7-hiau2,我袂曉,我袂曉,我不會,Morrison Iûnn,goa be-hiau,gua be-hiau
13,phùi-that-á,phui3-that-a2,phuì-that-á,phui3-that-a2,屁窒仔,屁窒仔,小屁孩,匿名,phui-that-a,phui-that-a
14,hiông-sam hui-tôaⁿ,hiong5-sam hui-toann5,hiông-sam hui-tuânn,hiong5-sam hui-tuann5,雄三飛彈,雄三飛彈,雄三飛彈,匿名,hiong-sam hui-toa,hiong-sam hui-tuann
15,o͘-pe̍h chhì,oo-peh8 chhi3,oo-pe̍h tshì,oo-peh8 tshi3,烏白試,烏白試,亂試,匿名,o-peh chhi,oo-peh tshi
16,tōa-lia̍p-nn̄g,toa7-liap8-nng7,tuā-lia̍p-nn̄g,tua7-liap8-nng7,大粒卵,大粒卵,巨蛋,匿名,toa-liap-nn̄g,tua-liap-nn̄g
