Id,Afrikaans,AfrikaansIPA,English
0,"A‐bom","/ˈɑː bˈɔm/","atom bomb"
1,"Aandland","/ˈɑːntlɐnt/","Occident"
2,"Aandster","/ˈɑːntstær/","Evening Star, Venus"
3,"Abessinies","/ˈɑːbɛsˌinis/","Abyssinian"
4,"Abessinië","/ˈɑːbɛsˌiniəiəə/","Abyssinia"
5,"Abessiniër","/ˈɑːbɛsˌiniəiər/","Abyssinian"
6,"Achilles","/ɐkˈiləs/","Achilles"
7,"Achilleshiel","/ˈɐxələshˌil/","Achilles' heel"
8,"Achillespees","/ˈɐxələspˌiəs/","Achilles' tendon"
9,"Adam","/ˈɐdɐm/","Adam"
10,"Aden","/ˈɑːdən/","Aden"
11,"Adonis","/ɐdˈʊənəs/","Adonis"
12,"Adriatiese","/ˌɐdriˈɑːtisə/","Adriatic, Adriatic Sea"
13,"Afgaan","/ˈɐfxˌɑːn/","Afghan"
14,"Afgaans","/ˈɐfxˌɑ̃ns/","Afghan"
15,"Afganistan","/ɐfɡˈɐnistˌɐn/","Afghanistan"
16,"Afrika","/ˈɑːfrikˌɐ/","Africa"
17,"Afrikaan","/ɐfrikˈɑːn/","African"
18,"Afrikaans","/ɐfrikˈɑ̃ns/","1. African❄2. Afrikaans"
19,"Afrikaner","/ɐfrikˈɑːnər/","1. Afrikaans❄2. Afrikaner, Boer"
20,"Afrikanertroos","/ɐfrikˈɑːnərtrˌʊəs/","coffee"
21,"Afro‐Asiaties","/ˈɐfrˌʊə ɐsˈiɑːtˌis/","Afro‐Asian"
22,"Agter‐Indië","/ˌɐxtər ˈəndiəiəə/","Indo‐China"
23,"Aken","/ˈɑːkən/","Aix‐la‐Chapelle"
24,"Albaans","/ɐlbˈɑ̃ns/","Albanian"
25,"Albanees","/ˌɐlbɐnˈiəs/","Albanian"
26,"Albanies","/ˈɐlbɑːnˌis/","1. Albanian❄2. Albanian language"
27,"Albaniese","/ˈɐlbɑːnˌisə/","Albanian, Albanian language"
28,"Albanië","/ɐlbˈɑːniəiəə/","Albania"
29,"Albion","/ˈɐlbiˌɔn/","Albion"
30,"Alexandrië","/ɐlɛkzˈɐndriəiəə/","Alexandria"
31,"Algerië","/ɐlxˈiəriəiəə/","Algeria"
32,"Algeryn","/ɐlxərˈɛɪn/","Algerian"
33,"Algeryns","/ɐlxərˈɛɪns/","Algerian"
34,"Algiers","/ˈɐlxiːrs/","Algiers"
35,"Allah","/ɐlˈɑː/","Allah"
36,"Allerheilige","/ˈɐlərhˌɛɪləxə/","All Hallows, All Saints' Day"
37,"Allersiele","/ˈɐlərsˌilə/","All Souls' Day"
38,"Alpe","/ˈɐlpə/","Alps"
39,"Alpien","/ˈɐlpin/","alpine"
40,"Alpinies","/ˈɐlpinˌis/","alpine"
41,"Alpyns","/ˈɐlpɛɪns/","alpine"
42,"Amasone","/ɐmɐsˈʊənə/","Amazon"
43,"Amerika","/ɐmˈiərikɐ/","1. America❄2. United States of America, USA"
44,"Amerikaans","/ɐmˌiərikˈɑ̃ns/","American"
45,"Amerikaner","/ɐmˌiərikˈɑːnər/","1. American❄2. US citizen"
46,"Amor","/ɐmˈɔr/","Cupid"
47,"Anatolië","/ˌɐnɐtulˈiəiəə/","Anatolia, Asia Minor"
48,"Andalusië","/ˈɐndɑːlˌysiəiəə/","Andalusia"
49,"Angel‐Sakser","/ˈɐŋəl sˈɐksər/","Anglo‐Saxon"
50,"Angel‐Saksies","/ˈɐŋəl sˈɐksis/","Anglo‐Saxon"
51,"Anglikaan","/ɑ̃ŋxlikˈɑːn/","Anglican"
52,"Anglikaans","/ɑ̃ŋxlikˈɑ̃ns/","Anglican"
53,"Angola","/ɑ̃ŋxˈʊəlɐ/","Angola"
54,"Annunsiasie","/ˈɐnœnsˌiɑːsˌi/","Annunciation, Lady Day"
55,"Antarktika","/ɐntˈɐrktikɐ/","Antarctic, the Antarctic"
56,"Antille","/ɐntilˈə/","Antilles"
57,"Antonius","/ɐntˈʊənijˌœs/","Antony"
58,"Apokalips","/ɐpɔkɐlˈəps/","Apocalypse"
59,"April","/ɐprˈəl/","April"
60,"Arabier","/ɐrɐbˈiːr/","Arab"
61,"Arabies","/ɐrˈɑːbis/","Arabian, Arabic"
62,"Arabië","/ɐrˈɑːbiəiəə/","Arabia"
63,"Ardenne","/ˈɐrdɛnə/","Ardennes"
64,"Areopagus","/ɐrˈiəʊəpˌɑːxœs/","Areopagus"
65,"Argentinië","/ɐrxəntˈiniəiəə/","Argentina"
66,"Argentyn","/ɐrxəntˈɛɪn/","Argentine"
67,"Argentyns","/ɐrxəntˈɛɪns/","Argentine, Argentinean"
68,"Argus","/ˈɐrxœs/","Argus"
69,"Aries","/ˈɑːris/","Aryan"
70,"Aristoteles","/ˌɐristˈʊətəlˌɛs/","Aristotle"
71,"Ariër","/ˈɑːriəiər/","Aryan"
72,"Ark","/ˈɐrk/","Ark of the Covenant"
73,"Armenies","/ˈɐrmiənˌis/","Armenian"
74,"Armenië","/ˈɐrmiənˌiəiəə/","Armenia"
75,"Armeniër","/ˈɐrmiənˌiəiər/","Armenian"
76,"Asdag","/ˈɐsdɐx/","Ash Wednesday"
77,"Asepoestertjie","/ˈɑːsiəpˌustərkˌi/","Cinderella"
78,"Asiaat","/ɐsˈiɑːt/","Asian"
79,"Asiaties","/ɐsˈiɑːtˌis/","Asian, Asiatic"
80,"Asië","/ˈɑːsiəiəə/","Asia"
81,"Assiries","/ˈɐsirˌis/","Assyrian"
82,"Assirië","/ˈɐsirˌiəiəə/","Assyria"
83,"Assiriër","/ˈɐsirˌiəiər/","Assyrian"
84,"Astekies","/ˈɐstəkˌis/","Aztec"
85,"Atheens","/ˈɐthiəns/","Athenian"
86,"Athene","/ɐtˈiənə/","1. Athena, Athene❄2. Athens"
87,"Athener","/ˈɐthiənər/","Athenian"
88,"Atlanties","/ɐtlˈɐntis/","Atlantic"
89,"Atlantiese","/ɐtlˈɐntisə/","Atlantic, Atlantic Ocean"
90,"Atlas","/ˈɐtlɐs/","Atlas"
91,"Atties","/ˈɐtis/","Attic"
92,"Augias","/ˈəʊxiɐs/","Augeas"
93,"Augiasstal","/ˈəʊxiˌɐstɐl/","Augean stable"
94,"Augustus","/ɔxˈœstœs/","1. Augustus❄2. August"
95,"Aurora","/ˈəʊrʊərɐ/","Aurora"
96,"Australies","/ʊəstrˈɑːlis/","Australian"
97,"Australië","/ʊəstrˈɑːliəiəə/","Australia"
98,"Australiër","/ʊəstrˈɑːliəiər/","Australian"
99,"Awendland","/ˈɑːvəntlˌɐnt/","Occident"
100,"Babel","/bˈɑːbəl/","Babel, Babylon"
101,"Babilon","/bˈɐbilˌɔn/","Babel, Babylon"
102,"Babilonies","/bˌɑːbilˈʊənis/","Babylonian"
103,"Babilonië","/bˌɐbilˈʊəniə/","Babylonia"
104,"Bacchus","/bˈɐxœs/","Bacchus"
105,"Baleare","/bɐlˈiəɑːrə/","Balearic Islands"
106,"Baleariese","/bɐliəˈɑːrisə/","Balearic Islands"
107,"Balkan","/bˈɐlkɐn/","Balkans"
108,"Balties","/bˈɐltis/","Baltic"
109,"Baltiese","/bˈɐltisə/","Baltic Sea"
110,"Bantoe‐","/bˈɐntu/","Bantu"
111,"Bantoe","/bˈɐntu/","Bantu"
112,"Baptis","/bˈɐptəs/","baptist"
113,"Barbarye","/bɐrbɐrˈɛɪə/","Barbery"
114,"Bask","/bˈɐsk/","Basque"
115,"Baskies","/bˈɐskis/","Basque"
116,"Bataaf","/bɐtˈɑːf/","Batavian"
117,"Bataviaan","/bˈɑːtɐfˌiɑːn/","Batavian"
118,"Batavier","/bˈɑːtɑːfˌiːr/","Batavian"
119,"Baäl","/bˈɑːɐl/","Baal"
120,"Beier","/bˈɛɪər/","Bavarian"
121,"Beiere","/bˈɛɪərə/","Bavaria"
122,"Beiers","/bˈɛɪərs/","Bavarian"
123,"Belg","/bˈælx/","Belgian"
124,"Belgies","/bˈælxis/","Belgian"
125,"België","/bˈælxiəiəə/","Belgium"
126,"Belgrado","/bˈælxrɑːdu/","Belgrade"
127,"Benediktyner","/bənˈiədəktˌɛɪnər/","Benedictine, Benedictine monk"
128,"Benediktynermonnik","/bənˈiədəktˌɛɪnərmˌɔnək/","Benedictine, Benedictine monk"
129,"Benelux","/bənˈiəlœks/","Benelux"
130,"Bengaals","/bɛŋxˈɑːls/","Bengal"
131,"Bengaalse","/bɛŋxˈɑːlsə/","bengal‐light, bengal‐lights"
132,"Bengale","/bɛŋxˈɑːlə/","Bengal"
133,"Beosië","/bəˈʊəsiəiəə/","Beotia"
134,"Berlyn","/bærlˈɛɪn/","Berlin"
135,"Berlyner","/bærlˈɛɪnər/","Berliner"
136,"Berlyns","/bærlˈɛɪns/","Berlin"
137,"Bern","/bˈærn/","Berne"
138,"Betlehem","/bˈɛtliɛm/","Bethlehem"
139,"Birma","/bˈərmɐ/","Burma"
140,"Birmaan","/bˈərmɑːn/","Burmese"
141,"Birmees","/bˈərmiəs/","Burmese"
142,"Bisantium","/bˈisɐntˌiœm/","Byzantium"
143,"Bisantyns","/bisɐntˈɛɪns/","Byzantine"
144,"Bloemfontein","/blˈumfɔntˌɛɪn/","Bloemfontein"
145,"Bloubaard","/blˈəʊbɑːrt/","Bluebeard"
146,"Boeddha","/bˈudɑː/","Buddha"
147,"Boeddhisme","/budˈəsmə/","Buddhism"
148,"Boeddhist","/budˈəst/","Buddhist"
149,"Boekarest","/bˈukɐrˌɛst/","Bucharest"
150,"Boer","/bˈuːr/","1. Afrikaans❄2. Afrikaner, Boer"
151,"Boesman","/bˈusmɐn/","Bushman"
152,"Boheems","/buhˈiəms/","Bohemian"
153,"Boheme","/buhˈiəmə/","Bohemia"
154,"Boliwies","/bˈʊəlivˌis/","Bolivian"
155,"Boliwië","/bˈʊəlivˌiəiəə/","Bolivia"
156,"Bolsjewiek","/bˈɔlʃiəvˌik/","Bolshevik"
157,"Bolsjewis","/bˌɔlʃiəvˈəs/","Bolshevik"
