id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
1,a-a-háu/a-a-kiò/a-a-khàu,a-a-hau2/a-a-kio3/a-a-khau3,a-a-háu/a-a-kiò/a-a-khàu,a-a-hau2/a-a-kio3/a-a-khau3,Vph,,,啞啞叫,cry (like a baby),,,1,a-a-hau/a-a-kio/a-a-khau
2,a-bí-pa,a-bi2-pa,a-bí-pa,a-bi2-pa,N/Med,,,阿米巴,ameba,,,1,a-bi-pa
3,a-bú/a-bó,a-bu2/a-bo2,a-bú/a-bó,a-bu2/a-bo2,Na,ê,,媽媽,"mother, mama",,,1,a-bu/a-bo
4,a-cha,a-cha,a-tsa,a-tsa,,,a-a cha-cha/a-cha a-cha,髒,"dirty, soiled",a-cham/â-sâm/lâ-sâm/là-sap,,1,a-cha
5,a-cham,a-cham,a-tsam,a-tsam,,,a-cham a-cham,髒,"dirty, soiled",a-cha,,1,a-cham
6,a-ché,a-che2,a-tsé,a-tse2,Na,ê,,阿姊,sister (elder),,,1,a-che
7,a-chek,a-chek,a-tsik,a-tsik,Na,ê,,叔叔,uncle (father's younger brother),,,1,a-chek
8,a-chek,a-chek,a-tsik,a-tsik,Na,ê,,爸爸,father (used to avoid making the spirits jealous),,,1,a-chek
9,a-chí,a-chi2,a-tsí,a-tsi2,Na,ê,,阿姊,sister (elder),,,1,a-chi
10,a-chím,a-chim2,a-tsím,a-tsim2,Na,ê,,嬸母,aunt (father's younger brother's wife),,,1,a-chim
11,A-chiu,A-chiu,A-tsiu,A-tsiu,Np,,,亞洲,Asia,,,1,A-chiu
12,a-chó͘,a-choo2,a-tsóo,a-tsoo2,Na,ê,,曾祖父母,great-grandparent (father's side),,,1,a-cho
13,a-hê,a-he5,a-hê,a-he5,N,bé/chiah,,亞蝦,"shrimp, Trachypenaeus asper",,,1,a-he
14,a-hiaⁿ,a-hiann,a-hiann,a-hiann,Na,ê,,哥哥,brother (elder),,,1,a-hia
15,a-î,a-i5,a-î,a-i5,Na,ê,,阿姨,aunt(mother's sister),,,1,a-i
16,a-î,a-i5,a-î,a-i5,Na,ê,,媽媽,mother (used to avoid making the spirits jealous),,,1,a-i
17,A-jia̍t-tài,A-jiat8-tai3,A-jia̍t-tài,A-jiat8-tai3,Np,,,亞熱帶,sub-tropical zone,,Jia̍t-tài/Un-tài/Hân-tài,1,A-jiat-tai
18,a-kè-kau,a-ke3-kau,a-kè-kau,a-ke3-kau,N/Ich,bé,,ㄚ髻鮫,"any shark of the genus Sphyrne, hammerhead shark",,,1,a-ke-kau
19,a-kīm,a-kim7,a-kīm,a-kim7,Na,ê,,舅母,aunt (mother's brother's wife),,,1,a-kim
20,a-ko,a-ko,a-ko,a-ko,Na,ê,,哥哥,brother (elder),,,1,a-ko
21,a-ko͘,a-koo,a-koo,a-koo,Na,ê,,姑母,aunt (father's sister),,,1,a-ko
22,a-kong,a-kong,a-kong,a-kong,Na,ê,,祖父,grandfather,,,1,a-kong
23,a-kū,a-ku7,a-kū,a-ku7,Na,ê,,舅父,uncle (mother's brother),,,1,a-ku
24,a-kū,a-ku7,a-kū,a-ku7,Na,ê,,,brother-in-law (wife's brother),,,1,a-ku
