db,field,type,lang,delim,max_length,status,notes,DONE
ChhoeTaigi_BanglooMuitheSekin,id,id,,,,,,DONE
ChhoeTaigi_BanglooMuitheSekin,poj_unicode,vocab,poj,,long,,,DONE
ChhoeTaigi_BanglooMuitheSekin,poj_input,input,poj,,long,,,DONE
ChhoeTaigi_BanglooMuitheSekin,kip_unicode,vocab,kip,,long,,,DONE
ChhoeTaigi_BanglooMuitheSekin,kip_input,input,kip,,long,,,DONE
ChhoeTaigi_BanglooMuitheSekin,hanlo_taibun_poj,vocab,taibun_poj,,long,,,DONE
ChhoeTaigi_BanglooMuitheSekin,hanlo_taibun_kip,vocab,taibun_kip,,long,,,DONE
ChhoeTaigi_BanglooMuitheSekin,hoabun,definition,hoabun,,long,,,DONE
ChhoeTaigi_BanglooMuitheSekin,english,definition,english,,,blank,,DONE
ChhoeTaigi_BanglooMuitheSekin,poochhiong_chuliau,see_also,poj/taibun_poj,,long,sparse,,DONE
ChhoeTaigi_BanglooMuitheSekin,muithe_miachheng,channel_name,hoabun,,short,,,DONE
ChhoeTaigi_BanglooMuitheSekin,hongsang_jitki,date_YYYY.MM.DD,,,short,,,DONE
ChhoeTaigi_BanglooMuitheSekin,liankiat,link,,,short,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,id,id,,,,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,poj_unicode,vocab,poj,/,long,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,poj_input,input,poj,/,long,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,kip_unicode,vocab,kip,/,long,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,kip_input,input,kip,/,long,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,abbreviations,pos_classification,,,med,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,noun_classifiers,measure_word,poj,/,single,sparse,,DONE
ChhoeTaigi_EmbreeTaiengSutian,reduplication,vocab_other,poj,/,med,sparse,,DONE
ChhoeTaigi_EmbreeTaiengSutian,hoabun,definition,hoabun,,med,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,english,definition,english,,long,,,DONE
ChhoeTaigi_EmbreeTaiengSutian,synonym,synonym,poj,/,short,sparse,,DONE
ChhoeTaigi_EmbreeTaiengSutian,cf,opposite,poj,/,short,sparse,,DONE
ChhoeTaigi_EmbreeTaiengSutian,page_number,page_number,,,,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,id,id,,,,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,poj_unicode,vocab,poj,/,long,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,poj_input,input,poj,/,long,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,kip_unicode,vocab,kip,/,long,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,kip_input,input,kip,/,long,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,hanlo_taibun_poj,vocab,taibun_poj,,med,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,hanlo_taibun_kip,vocab,taibun_kip,,med,,,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,hoabun,definition,hoabun,,med,,Some english in the hoabun field.,DONE
ChhoeTaigi_iTaigiHoataiTuichiautian,from,contributor,,,short,,,DONE
ChhoeTaigi_KamJitian,id,id,,,,,,DONE
ChhoeTaigi_KamJitian,poj_unicode,vocab,poj,,single,,This DB consists entirely of single-character entries.,DONE
ChhoeTaigi_KamJitian,poj_input,input,poj,,single,,,DONE
ChhoeTaigi_KamJitian,hanji_taibun,vocab,taibun_hanji,,single,,"Inconsistent use of ""-"" and ""?"" for blank/unknown.",DONE
ChhoeTaigi_KamJitian,poj_bunim_unicode,other,poj,sparse,single,,,DONE
ChhoeTaigi_KamJitian,poj_bunim_input,other_input,poj,sparse,single,,,DONE
ChhoeTaigi_KamJitian,poj_kaisoeh,definition,poj,,long,,,DONE
ChhoeTaigi_KamJitian,hanlo_taibun_kaisoeh_poj,definition,taibun_poj,,long,,,DONE
ChhoeTaigi_KamJitian,kip_unicode,vocab,kip,,single,,,DONE
ChhoeTaigi_KamJitian,kip_input,input,kip,,single,,,DONE
ChhoeTaigi_KamJitian,kip_bunim_unicode,other,kip,sparse,single,,,DONE
