Id,English,EnglishIPA,Afrikaans
0,"ABC","/ˌeɪbˌiːsˈiː/","abc, alfabet"
1,"Abyssinia","/ɐbɪsˈɪniə/","1. Abessinië❄2. Ethiopië"
2,"Abyssinian","/ɐbɪsˈɪniən/","1. Abessinies❄2. Abessiniër"
3,"Achilles","/ɐkˈɪliːz/","Achilles"
4,"Achilles'","/ɐkˈɪliːz/","Achilleshiel"
5,"Achilles'","/ɐkˈɪliːz/","Achillespees"
6,"Adam","/ˈadəm/","Adam"
7,"Adam's","/ˈadəmz/","adamsappel, komhalertjie"
8,"Aden","/ˈeɪdən/","Aden"
9,"Adonis","/ˈadənˌɪs/","Adonis"
10,"Adriatic","/ˌadɹɪˈatɪk/","Adriatiese See"
11,"Adriatic","/ˌadɹɪˈatɪk/","Adriatiese See"
12,"Aegean","/iːdʒˈiən/","Egeïese Zee"
13,"Aegean","/iːdʒˈiən/","Egeïese Zee"
14,"Afghan","/ˈafɡan/","1. Afgaans❄2. Afgaan"
15,"Afghanistan","/afɡˈanɪstˌɑːn/","Afganistan"
16,"Africa","/ˈafɹɪkə/","Afrika"
17,"African","/ˈafɹɪkən/","1. Afrikaans❄2. Afrikaan"
18,"African","/ˈafɹɪkən/","afrikanertjie"
19,"Afrikaans","/ˈafɹɪkˌɑːnz/","1. Afrikaans❄2. Afrikaner, Boer"
20,"Afrikaner","/ˈafɹɪkˌeɪnə/","Afrikaner, Boer"
21,"Afro‐Asian","/ˈafɹəʊ ˈeɪʒən/","Afro‐Asiaties"
22,"Aix‐la‐Chapelle","/ˈeɪks lˌa tʃeɪpˈɛl/","Aken"
23,"Albania","/albˈeɪniə/","Albanië"
24,"Albanian","/albˈeɪniən/","1. Albaans, Albanees, Albanies❄2. Albaniese taal"
25,"Albanian","/albˈeɪniən/","Albanies, Albaniese taal"
26,"Albion","/ˈalbɪən/","Albion"
27,"Alexandria","/ˌalɪɡzˈandɹiə/","Alexandrië"
28,"Algeria","/aldʒˈiəɹiə/","Algerië"
29,"Algerian","/aldʒˈiəɹiən/","1. Algeryns❄2. Algeryn"
30,"Algiers","/aldʒˈiəz/","Algiers"
31,"Allah","/ˈalə/","Allah"
32,"All","/ˈɔːl/","Allerheilige"
33,"All","/ˈɔːl/","Allerheilige"
34,"All","/ˈɔːl/","Allersiele"
35,"Alpenrose","/ˈalpənɹˌəʊz/","alperoos"
36,"Alpinist","/ˈalpɪnˌɪst/","1. alpinis, bergbeklimmer❄2. bergklimmer"
37,"Alps","/ˈalps/","Alpe"
38,"Alsatian","/alsˈeɪʃən/","1. Elsasies❄2. Elsasser"
39,"Amazon","/ˈaməzən/","1. Amasone❄2. amasone"
40,"America","/ɐmˈɛɹɪkə/","Amerika"
41,"American","/ɐmˈɛɹɪkən/","1. Amerikaans❄2. Amerikaner"
42,"Americanize","/ɐmˈɛɹɪkənˌaɪz/","amerikaniseer"
43,"American","/ɐmˈɛɹɪkən/","Indiaan, Rooihuid"
44,"Anatolia","/ˌanɐtˈəʊliə/","Anatolië"
45,"Andalusia","/ˈandɐlˌuːziə/","Andalusië"
46,"Anglican","/ˈaŋɡlɪkən/","1. Anglikaans❄2. Anglikaan"
47,"Anglo‐Saxon","/ˈaŋɡləʊ sˈaksən/","1. Angel‐Saksies❄2. Angel‐Sakser"
48,"Angola","/aŋɡˈəʊlə/","Angola"
49,"Annunciation","/ɐnˌʌnsɪˈeɪʃən/","Annunsiasie"
50,"Antarctic","/antˈɑːktɪk/","1. Antarktika❄2. Suidpool‐"
51,"Antarctic","/antˈɑːktɪk/","Suidelike Yssee"
52,"Antichrist","/ˈantɪkɹˌaɪst/","antichris"
53,"Antilles","/antˈɪliːz/","Antille"
54,"Antony","/ˈantəni/","Antonius"
55,"Apocalypse","/ɐpˈɒkɐlˌɪps/","Apokalips, Openbaring"
56,"April","/ˈeɪpɹəl/","April"
57,"Arab","/ˈaɹəb/","Arabier"
58,"Arabia","/əɹˈeɪbiə/","Arabië"
59,"Arabian","/əɹˈeɪbiən/","Arabies"
60,"Arabic","/ˈaɹɐbˌɪk/","Arabies"
61,"Arctic","/ˈɑːktɪk/","1. Noordpool❄2. noordpool‐"
62,"Arctic","/ˈɑːktɪk/","Yssee"
63,"Ardennes","/ɑːdˈɛnz/","Ardenne"
64,"Areopagus","/ˈaɹɪˌɒpaɡəs/","Areopagus"
65,"Argentina","/ˌɑːdʒəntˈiːnə/","Argentinië"
66,"Argentine","/ˈɑːdʒəntˌaɪn/","1. Argentyns❄2. Argentyn"
67,"Argentinean","/ˈɑːdʒəntˌɪniən/","Argentyns"
68,"Argus","/ˈɑːɡəs/","Argus"
69,"Aristotle","/ˈaɹɪstˌɒtəl/","Aristoteles"
70,"Ark","/ˈɑːk/","Ark van die Verbond"
71,"Armenia","/ɑːmˈiːniə/","Armenië"
72,"Armenian","/ɑːmˈiːniən/","1. Armenies❄2. Armeniër"
73,"Aryan","/ˈɑːɹɪən/","1. Aries❄2. Ariër"
74,"Ascension","/ɐsˈɛnʃən/","Hemelvaartdag"
75,"Ash","/ˈaʃ/","Asdag"
76,"Asia","/ˈeɪʃə/","Asië"
77,"Asian","/ˈeɪʒən/","1. Asiaties❄2. Asiaat"
78,"Asiatic","/ˌeɪʒɪˈatɪk/","Asiaties"
79,"Asia","/ˈeɪʃə/","1. Anatolië❄2. Klein‐Asië"
80,"Assyria","/ɐsˈɪɹiə/","Assirië"
81,"Assyrian","/ɐsˈɪɹiən/","1. Assiries❄2. Assiriër"
82,"Athena","/aθˈiːnə/","Athene"
83,"Athene","/ˈaθiːn/","Athene"
84,"Athenian","/aθˈiːniən/","1. Atheens❄2. Athener"
85,"Athens","/ˈaθɪnz/","Athene"
