id,poj_unicode,poj_input,kip_unicode,kip_input,hanlo_taibun_poj,hanlo_taibun_kip,hoabun,english,poochhiong_chuliau,muithe_miachheng,hongsang_jitki,liankiat,poj_normalized,kip_normalized
1,tōng-bu̍t-phōaⁿ,tong7-but8-phoann7,tōng-bu̍t-phuānn,tong7-but8-phuann7,動物伴,動物伴,毛小孩/寵物,,"相關詞：koán-ke-káu(管家狗), tì-lêng ki-khì-káu(智能機器狗)",【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,tong-but-phoa,tong-but-phuann
2,Ái-bo͘h,Ai2-booh,Ái-booh,Ai2-booh,Aibo,Aibo,愛寶,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,Ai-boh,Ai-booh
3,Ki-khì,Ki-khi3,Ki-khì,Ki-khi3,機器,機器,機器,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,Ki-khi,Ki-khi
4,jîn-kang tì-hūi,jin5-kang ti3-hui7,jîn-kang tì-huī,jin5-kang ti3-hui7,人工智慧,人工智慧,人工智慧,,相關詞：jîn-kang tì-lêng(人工智能),【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,jin-kang ti-hui,jin-kang ti-hui
5,hûn-toan ūn-soàn,hun5-toan un7-soan3,hûn-tuan ūn-suàn,hun5-tuan un7-suan3,雲端運算,雲端運算,雲端運算,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,hun-toan un-soan,hun-tuan un-suan
6,tì-lêng koán-ke,ti3-leng5 koan2-ke,tì-lîng kuán-ke,ti3-ling5 kuan2-ke,智能管家,智能管家,智能管家,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,ti-leng koan-ke,ti-ling kuan-ke
7,te̍k-sû,tek8-su5,ti̍k-sû,tik8-su5,特殊,特殊,特殊,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,tek-su,tik-su
8,tiâu-chiat,tiau5-chiat,tiâu-tsiat,tiau5-tsiat,調節,調節,調節,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,tiau-chiat,tiau-tsiat
9,ki-su̍t,ki-sut8,ki-su̍t,ki-sut8,技術,技術,技術,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,ki-sut,ki-sut
10,khiā-ke,khia7-ke,khiā-ke,khia7-ke,徛家,徛家,住家,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,khia-ke,khia-ke
11,chū-the̍h,chu7-theh8,tsū-the̍h,tsu7-theh8,住宅,住宅,住宅,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,chu-theh,tsu-theh
12,lêng-goân,leng5-goan5,lîng-guân,ling5-guan5,能源,能源,能源,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,leng-goan,ling-guan
13,lī-tó kiàn-siat tiâu-lē,li7-to2 kian3-siat tiau5-le7,lī-tó kiàn-siat tiâu-lē,li7-to2 kian3-siat tiau5-le7,離島建設條例,離島建設條例,離島建設條例,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,li-to kian-siat tiau-le,li-to kian-siat tiau-le
14,kiàn-siat,kian3-siat,kiàn-siat,kian3-siat,建設,建設,建設,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,kian-siat,kian-siat
15,tì-lêng po-lê,ti3-leng5 po-le5,tì-lîng po-lê,ti3-ling5 po-le5,智能玻璃,智能玻璃,智能玻璃,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,ti-leng po-le,ti-ling po-le
16,tek-pia̍t-hoat,tek-piat8-hoat,tik-pia̍t-huat,tik-piat8-huat,特別法,特別法,特別法,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,tek-piat-hoat,tik-piat-huat
17,chiáu-lang kong-tâu,chiau2-lang kong-tau5,tsiáu-lang kong-tâu,tsiau2-lang kong-tau5,鳥籠公投,鳥籠公投,鳥籠公投,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,chiau-lang kong-tau,tsiau-lang kong-tau
18,chiáu-lang-á,chiau2-lang-a2,tsiáu-lang-á,tsiau2-lang-a2,鳥籠仔,鳥籠仔,鳥籠仔,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,chiau-lang-a,tsiau-lang-a
19,chiáu-á-lang,chiau2-a2-lang,tsiáu-á-lang,tsiau2-a2-lang,鳥仔籠,鳥仔籠,鳥仔籠,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,chiau-a-lang,tsiau-a-lang
20,siong-tùi iu-sè koat,siong-tui3 iu-se3 koat,siong-tuì iu-sè kuat,siong-tui3 iu-se3 kuat,相對優勢決,相對優勢決,相對優勢決,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,siong-tui iu-se koat,siong-tui iu-se kuat
21,pau-soaⁿ-pau-hái,pau-soann-pau-hai2,pau-suann-pau-hái,pau-suann-pau-hai2,包山包海,包山包海,包山包海,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,pau-soa-pau-hai,pau-suann-pau-hai
22,phok-e̍k,phok-ek8,phok-i̍k,phok-ik8,博弈,博弈,博弈,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,phok-ek,phok-ik
23,phok-e̍k kong-tâu,phok-ek8 kong-tau5,phok-i̍k kong-tâu,phok-ik8 kong-tau5,博弈公投,博弈公投,博弈公投,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,phok-ek kong-tau,phok-ik kong-tau
24,poa̍h-kiáu,poah8-kiau2,pua̍h-kiáu,puah8-kiau2,跋筊,跋筊,賭博,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,poah-kiau,puah-kiau
25,kiáu-keng,kiau2-keng,kiáu-king,kiau2-king,筊間,筊間,賭場,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,kiau-keng,kiau-king
26,Kim-mn̂g,Kim-mng5,Kim-mn̂g,Kim-mng5,金門,金門,金門,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,Kim-mn̂g,Kim-mn̂g
27,Má-chó͘,Ma2-choo2,Má-tsóo,Ma2-tsoo2,馬祖,馬祖,馬祖,,,【民視台灣學堂】台語講世事,2017.11.30,https://youtu.be/Ttcnq4T_XNY,Ma-cho,Ma-tsoo
